street_name,postal_code,zone_code,zone_name,highway_type,latitude,longitude,full_address
Tengbeh Town Road,1103,1103-003,Tengbeh Town,secondary,8.4775,-13.2435,"Tengbeh Town Road, Tengbeh Town, 1103, Sierra Leone"
King Harman Road,1103,1103-001,Brookfields,secondary,8.4595,-13.2465,"King Harman Road, Brookfields, 1103, Sierra Leone"
Hill Station Road,1104,1104-001,Hill Station,primary,8.4540,-13.2645,"Hill Station Road, Hill Station, 1104, Sierra Leone"
Regent Road,1104,1104-002,Wilberforce,secondary,8.4420,-13.2710,"Regent Road, Wilberforce, 1104, Sierra Leone"
Signal Hill Road,1104,1104-003,Signal Hill,tertiary,8.4370,-13.2780,"Signal Hill Road, Signal Hill, 1104, Sierra Leone"
Leicester Road,1104,1104-001,Hill Station,secondary,8.4530,-13.2655,"Leicester Road, Hill Station, 1104, Sierra Leone"
Lumley Beach Road,1105,1105-001,Lumley,primary,8.4320,-13.2860,"Lumley Beach Road, Lumley, 1105, Sierra Leone"
Aberdeen Road,1105,1105-002,Aberdeen,primary,8.4180,-13.2935,"Aberdeen Road, Aberdeen, 1105, Sierra Leone"
Cape Road,1105,1105-002,Aberdeen,secondary,8.4178,-13.2938,"Cape Road, Aberdeen, 1105, Sierra Leone"
Cockle Bay Road,1105,1105-003,Cockle Bay,secondary,8.4110,-13.3082,"Cockle Bay Road, Cockle Bay, 1105, Sierra Leone"
Goderich Street,1106,1106-001,Goderich,secondary,8.4060,-13.3180,"Goderich Street, Goderich, 1106, Sierra Leone"
Lakka Road,1106,1106-003,Lakka,secondary,8.3880,-13.3280,"Lakka Road, Lakka, 1106, Sierra Leone"
Juba Road,1106,1106-002,Juba,secondary,8.4445,-13.3020,"Juba Road, Juba, 1106, Sierra Leone"
Kissy Road,1107,1107-001,Kissy,primary,8.4870,-13.1830,"Kissy Road, Kissy, 1107, Sierra Leone"
Bai Bureh Road,1107,1107-001,Kissy,secondary,8.4865,-13.1835,"Bai Bureh Road, Kissy, 1107, Sierra Leone"
Kissy Bye Pass Road,1107,1107-002,Kissy Brook,primary,8.4720,-13.1790,"Kissy Bye Pass Road, Kissy Brook, 1107, Sierra Leone"
Blackhall Road,1107,1107-003,Kissy Mess Mess,secondary,8.4555,-13.1735,"Blackhall Road, Kissy Mess Mess, 1107, Sierra Leone"
Wellington Street,1108,1108-001,Wellington,primary,8.4870,-13.1625,"Wellington Street, Wellington, 1108, Sierra Leone"
Portee Road,1108,1108-002,Portee,secondary,8.4915,-13.1555,"Portee Road, Portee, 1108, Sierra Leone"
Calaba Town Road,1109,1109-001,Calaba Town,secondary,8.4995,-13.1450,"Calaba Town Road, Calaba Town, 1109, Sierra Leone"
Allen Town Road,1109,1109-002,Allen Town,secondary,8.5040,-13.1350,"Allen Town Road, Allen Town, 1109, Sierra Leone"
Kingtom Road,1110,1110-001,Kingtom,secondary,8.4800,-13.2560,"Kingtom Road, Kingtom, 1110, Sierra Leone"
Kroo Town Road,1110,1110-002,Kroo Town,secondary,8.4975,-13.2070,"Kroo Town Road, Kroo Town, 1110, Sierra Leone"
Regent Village Road,1004,1004-001,Regent,secondary,8.4140,-13.2116,"Regent Village Road, Regent, 1004, Sierra Leone"
Regent Main Road,1004,1004-001,Regent,primary,8.4145,-13.2120,"Regent Main Road, Regent, 1004, Sierra Leone"
Regent Junction,1004,1004-001,Regent,tertiary,8.4150,-13.2125,"Regent Junction, Regent, 1004, Sierra Leone"
Babadorie Road,1004,1004-001,Regent,tertiary,8.4155,-13.2100,"Babadorie Road, Regent, 1004, Sierra Leone"
Grafton Road,1004,1004-001,Regent,secondary,8.4160,-13.2090,"Grafton Road, Regent, 1004, Sierra Leone"
Charlotte Village Road,1004,1004-001,Regent,tertiary,8.4135,-13.2130,"Charlotte Village Road, Regent, 1004, Sierra Leone"
Gloucester Village Road,1006,1006-001,Gloucester,secondary,8.4340,-13.2216,"Gloucester Village Road, Gloucester, 1006, Sierra Leone"
Leicester Village Road,1005,1005-001,Leicester,secondary,8.4390,-13.1964,"Leicester Village Road, Leicester, 1005, Sierra Leone"
Leicester Peak Road,1005,1005-001,Leicester,tertiary,8.4395,-13.1970,"Leicester Peak Road, Leicester, 1005, Sierra Leone"
Waterloo Main Road,1000,1000-001,Waterloo Town,primary,8.3330,-13.0600,"Waterloo Main Road, Waterloo, 1000, Sierra Leone"
Waterloo Junction Road,1000,1000-002,Waterloo Junction,primary,8.3290,-13.0576,"Waterloo Junction Road, Waterloo, 1000, Sierra Leone"
Waterloo Old Road,1000,1000-001,Waterloo Town,secondary,8.3320,-13.0610,"Waterloo Old Road, Waterloo, 1000, Sierra Leone"
Benguema Road,1000,1000-001,Waterloo Town,secondary,8.3350,-13.0550,"Benguema Road, Waterloo, 1000, Sierra Leone"
Benguema Barracks Road,1000,1000-001,Waterloo Town,tertiary,8.3355,-13.0545,"Benguema Barracks Road, Waterloo, 1000, Sierra Leone"
Tombo Highway,1000,1000-001,Waterloo Town,primary,8.3340,-13.0580,"Tombo Highway, Waterloo, 1000, Sierra Leone"
Kossoh Town Road,1000,1000-001,Waterloo Town,tertiary,8.3360,-13.0590,"Kossoh Town Road, Waterloo, 1000, Sierra Leone"
Waterloo Market Road,1000,1000-002,Waterloo Junction,tertiary,8.3295,-13.0580,"Waterloo Market Road, Waterloo, 1000, Sierra Leone"
Waterloo Police Station Road,1000,1000-001,Waterloo Town,tertiary,8.3325,-13.0605,"Waterloo Police Station Road, Waterloo, 1000, Sierra Leone"
Devil Hole Road,1000,1000-001,Waterloo Town,tertiary,8.3310,-13.0620,"Devil Hole Road, Waterloo, 1000, Sierra Leone"
Orugu Road,1000,1000-001,Waterloo Town,tertiary,8.3315,-13.0625,"Orugu Road, Waterloo, 1000, Sierra Leone"
Rokel Road,1000,1000-001,Waterloo Town,secondary,8.3345,-13.0560,"Rokel Road, Waterloo, 1000, Sierra Leone"
Tassoh Road,1000,1000-001,Waterloo Town,tertiary,8.3335,-13.0595,"Tassoh Road, Waterloo, 1000, Sierra Leone"
Moyiba Road,1000,1000-001,Waterloo Town,tertiary,8.3300,-13.0615,"Moyiba Road, Waterloo, 1000, Sierra Leone"
Fourah Bay College Road,1000,1000-001,Waterloo Town,tertiary,8.3305,-13.0630,"FBC Extension Road, Waterloo, 1000, Sierra Leone"
Jui Main Road,1000,1000-001,Waterloo Town,primary,8.3400,-13.0700,"Jui Main Road, Jui, 1000, Sierra Leone"
Jui Junction,1000,1000-001,Waterloo Town,tertiary,8.3405,-13.0705,"Jui Junction, Jui, 1000, Sierra Leone"
Jui Police Road,1000,1000-001,Waterloo Town,tertiary,8.3410,-13.0710,"Jui Police Road, Jui, 1000, Sierra Leone"
Jui Military Road,1000,1000-001,Waterloo Town,tertiary,8.3415,-13.0715,"Jui Military Road, Jui, 1000, Sierra Leone"
Jui Hospital Road,1000,1000-001,Waterloo Town,tertiary,8.3420,-13.0720,"Jui Hospital Road, Jui, 1000, Sierra Leone"
Jui Back Road,1000,1000-001,Waterloo Town,tertiary,8.3395,-13.0695,"Jui Back Road, Jui, 1000, Sierra Leone"
Jui Mosque Road,1000,1000-001,Waterloo Town,tertiary,8.3390,-13.0690,"Jui Mosque Road, Jui, 1000, Sierra Leone"
Jui Market Road,1000,1000-001,Waterloo Town,tertiary,8.3385,-13.0685,"Jui Market Road, Jui, 1000, Sierra Leone"
Kossoh Town Junction,1000,1000-001,Waterloo Town,tertiary,8.3365,-13.0595,"Kossoh Town Junction, Waterloo, 1000, Sierra Leone"
Newton Main Road,1001,1001-001,Newton,primary,8.3644,-13.0768,"Newton Main Road, Newton, 1001, Sierra Leone"
Newton Junction,1001,1001-001,Newton,tertiary,8.3650,-13.0775,"Newton Junction, Newton, 1001, Sierra Leone"
Newton Village Road,1001,1001-001,Newton,tertiary,8.3640,-13.0760,"Newton Village Road, Newton, 1001, Sierra Leone"
Hastings Main Road,1002,1002-001,Hastings,primary,8.3740,-13.1252,"Hastings Main Road, Hastings, 1002, Sierra Leone"
Hastings Airfield Road,1002,1002-001,Hastings,secondary,8.3750,-13.1260,"Hastings Airfield Road, Hastings, 1002, Sierra Leone"
Hastings Police Road,1002,1002-001,Hastings,tertiary,8.3735,-13.1245,"Hastings Police Road, Hastings, 1002, Sierra Leone"
Grafton Main Road,1003,1003-001,Grafton,primary,8.3890,-13.1468,"Grafton Main Road, Grafton, 1003, Sierra Leone"
Grafton Village Road,1003,1003-001,Grafton,tertiary,8.3885,-13.1465,"Grafton Village Road, Grafton, 1003, Sierra Leone"
Tombo Main Road,1008,1008-001,Tombo,primary,8.2090,-13.1042,"Tombo Main Road, Tombo, 1008, Sierra Leone"
Tombo Fishing Road,1008,1008-001,Tombo,tertiary,8.2085,-13.1040,"Tombo Fishing Road, Tombo, 1008, Sierra Leone"
Tombo Market Road,1008,1008-001,Tombo,tertiary,8.2095,-13.1045,"Tombo Market Road, Tombo, 1008, Sierra Leone"
York Village Road,1007,1007-001,York,secondary,8.3590,-13.2942,"York Village Road, York, 1007, Sierra Leone"
Kent Village Road,1007,1007-001,York,tertiary,8.3580,-13.2935,"Kent Village Road, York, 1007, Sierra Leone"
Imatt Road,1103,1103-002,New England,secondary,8.4700,-13.2390,"Imatt Road, New England, 1103, Sierra Leone"
Imatt Junction,1103,1103-002,New England,tertiary,8.4705,-13.2395,"Imatt Junction, New England, 1103, Sierra Leone"
Imatt Back Road,1103,1103-002,New England,tertiary,8.4695,-13.2385,"Imatt Back Road, New England, 1103, Sierra Leone"
FBC Road,1101,1101-003,Fourah Bay,tertiary,8.4895,-13.2055,"FBC Road, Fourah Bay, 1101, Sierra Leone"
Fourah Bay College Campus,1101,1101-003,Fourah Bay,tertiary,8.4900,-13.2060,"FBC Campus Road, Fourah Bay, 1101, Sierra Leone"
Mount Aureol Road,1101,1101-003,Fourah Bay,secondary,8.4905,-13.2065,"Mount Aureol Road, Fourah Bay, 1101, Sierra Leone"
Cline Town Main Road,1101,1101-001,Cline Town,primary,8.4775,-13.2000,"Cline Town Main Road, Cline Town, 1101, Sierra Leone"
Magazine Cut,1101,1101-001,Cline Town,tertiary,8.4785,-13.2000,"Magazine Cut, Cline Town, 1101, Sierra Leone"
Thunder Hill Road,1101,1101-001,Cline Town,tertiary,8.4782,-13.2005,"Thunder Hill Road, Cline Town, 1101, Sierra Leone"
Big Wharf Road,1101,1101-001,Cline Town,secondary,8.4790,-13.2015,"Big Wharf Road, Cline Town, 1101, Sierra Leone"
Mountain Cut,1102,1102-001,Congo Town,tertiary,8.4908,-13.2118,"Mountain Cut, Congo Town, 1102, Sierra Leone"
Congo Water Road,1102,1102-001,Congo Town,tertiary,8.4912,-13.2122,"Congo Water Road, Congo Town, 1102, Sierra Leone"
Samba Gutter Road,1102,1102-002,Foulah Town,tertiary,8.4868,-13.2212,"Samba Gutter, Foulah Town, 1102, Sierra Leone"
Murray Town Barracks Road,1102,1102-003,Murray Town,tertiary,8.4675,-13.2665,"Murray Town Barracks Road, Murray Town, 1102, Sierra Leone"
Aberdeen Ferry Road,1105,1105-002,Aberdeen,secondary,8.4175,-13.2940,"Aberdeen Ferry Road, Aberdeen, 1105, Sierra Leone"
Man of War Bay Road,1105,1105-002,Aberdeen,tertiary,8.4182,-13.2932,"Man of War Bay Road, Aberdeen, 1105, Sierra Leone"
Tokeh Road,1106,1106-003,Lakka,secondary,8.3875,-13.3285,"Tokeh Road, Lakka, 1106, Sierra Leone"
Hamilton Road,1106,1106-003,Lakka,tertiary,8.3878,-13.3282,"Hamilton Road, Lakka, 1106, Sierra Leone"
River No. 2 Road,1106,1106-003,Lakka,tertiary,8.3870,-13.3290,"River No. 2 Road, Lakka, 1106, Sierra Leone"
Lumley Junction,1105,1105-001,Lumley,tertiary,8.4325,-13.2865,"Lumley Junction, Lumley, 1105, Sierra Leone"
Aberdeen Junction,1105,1105-002,Aberdeen,tertiary,8.4185,-13.2930,"Aberdeen Junction, Aberdeen, 1105, Sierra Leone"
Mama Beach Road,1105,1105-002,Aberdeen,tertiary,8.4170,-13.2945,"Mama Beach Road, Aberdeen, 1105, Sierra Leone"
Wellington Industrial Estate,1108,1108-001,Wellington,tertiary,8.4875,-13.1630,"Wellington Industrial Estate, Wellington, 1108, Sierra Leone"
Shell Compound Road,1108,1108-001,Wellington,tertiary,8.4860,-13.1620,"Shell Compound Road, Wellington, 1108, Sierra Leone"
Old Wharf Road,1108,1108-001,Wellington,tertiary,8.4865,-13.1630,"Old Wharf Road, Wellington, 1108, Sierra Leone"
Ferry Junction,1108,1108-001,Wellington,tertiary,8.4880,-13.1635,"Ferry Junction, Wellington, 1108, Sierra Leone"
Kissy Shell Road,1107,1107-001,Kissy,tertiary,8.4872,-13.1828,"Kissy Shell Road, Kissy, 1107, Sierra Leone"
Kissy Dockyards Road,1107,1107-001,Kissy,tertiary,8.4868,-13.1832,"Kissy Dockyards Road, Kissy, 1107, Sierra Leone"
Grassfield Road,1107,1107-003,Kissy Mess Mess,tertiary,8.4558,-13.1738,"Grassfield Road, Kissy Mess Mess, 1107, Sierra Leone"
Upper Kissy Road,1107,1107-002,Kissy Brook,secondary,8.4725,-13.1795,"Upper Kissy Road, Kissy Brook, 1107, Sierra Leone"
Allen Town Junction,1109,1109-002,Allen Town,tertiary,8.5045,-13.1345,"Allen Town Junction, Allen Town, 1109, Sierra Leone"
Peninsular Road,1109,1109-002,Allen Town,primary,8.5050,-13.1350,"Peninsular Road, Allen Town, 1109, Sierra Leone"
Calaba Town Junction,1109,1109-001,Calaba Town,tertiary,8.4998,-13.1455,"Calaba Town Junction, Calaba Town, 1109, Sierra Leone"
Ginger Hall Road,1104,1104-001,Hill Station,tertiary,8.4545,-13.2650,"Ginger Hall Road, Hill Station, 1104, Sierra Leone"
Spur Loop Road,1103,1103-001,Brookfields,tertiary,8.4585,-13.2475,"Spur Loop Road, Brookfields, 1103, Sierra Leone"
SLBS Road,1103,1103-001,Brookfields,tertiary,8.4605,-13.2455,"SLBS Road, Brookfields, 1103, Sierra Leone"
PZ Junction,1103,1103-001,Brookfields,tertiary,8.4610,-13.2450,"PZ Junction, Brookfields, 1103, Sierra Leone"
Berry Street,1100,1100-001,Central Freetown CBD,tertiary,8.4768,-13.2265,"Berry Street, Central Freetown, 1100, Sierra Leone"
Fisher Street,1110,1110-001,Kingtom,tertiary,8.4805,-13.2555,"Fisher Street, Kingtom, 1110, Sierra Leone"
Ferry Road,1110,1110-001,Kingtom,secondary,8.4802,-13.2558,"Ferry Road, Kingtom, 1110, Sierra Leone"
Queen Elizabeth Quay,1110,1110-001,Kingtom,tertiary,8.4810,-13.2565,"Queen Elizabeth Quay, Kingtom, 1110, Sierra Leone"
Government Wharf Road,1110,1110-001,Kingtom,secondary,8.4808,-13.2560,"Government Wharf Road, Kingtom, 1110, Sierra Leone"
Crab Town Road,1110,1110-002,Kroo Town,tertiary,8.4980,-13.2065,"Crab Town Road, Kroo Town, 1110, Sierra Leone"
Campbell Street,1100,1100-001,Central Freetown CBD,tertiary,8.4760,-13.2285,"Campbell Street, Central Freetown, 1100, Sierra Leone"
Kroo Bay Road,1100,1100-001,Central Freetown CBD,secondary,8.4755,-13.2290,"Kroo Bay Road, Central Freetown, 1100, Sierra Leone"
Bath Street,1100,1100-001,Central Freetown CBD,tertiary,8.4765,-13.2282,"Bath Street, Central Freetown, 1100, Sierra Leone"
Martin Street,1100,1100-001,Central Freetown CBD,tertiary,8.4770,-13.2280,"Martin Street, Central Freetown, 1100, Sierra Leone"
Short Street,1100,1100-001,Central Freetown CBD,tertiary,8.4762,-13.2270,"Short Street, Central Freetown, 1100, Sierra Leone"
Back Street,1101,1101-001,Cline Town,tertiary,8.4775,-13.2015,"Back Street, Cline Town, 1101, Sierra Leone"
Ross Road,1104,1104-001,Hill Station,secondary,8.4535,-13.2648,"Ross Road, Hill Station, 1104, Sierra Leone"
Wilberforce Village Road,1104,1104-002,Wilberforce,tertiary,8.4410,-13.2700,"Wilberforce Village Road, Wilberforce, 1104, Sierra Leone"
Wilberforce Barracks Road,1104,1104-002,Wilberforce,tertiary,8.4415,-13.2705,"Wilberforce Barracks Road, Wilberforce, 1104, Sierra Leone"
Model School Road,1102,1102-001,Congo Town,tertiary,8.4905,-13.2115,"Model School Road, Congo Town, 1102, Sierra Leone"
Upper Brook Street,1100,1100-001,Central Freetown CBD,tertiary,8.4788,-13.2298,"Upper Brook Street, Central Freetown, 1100, Sierra Leone"
Lower Brook Street,1100,1100-001,Central Freetown CBD,tertiary,8.4784,-13.2302,"Lower Brook Street, Central Freetown, 1100, Sierra Leone"
Percival Street,1100,1100-001,Central Freetown CBD,tertiary,8.4763,-13.2252,"Percival Street, Central Freetown, 1100, Sierra Leone"
Soldier Street,1100,1100-001,Central Freetown CBD,tertiary,8.4748,-13.2242,"Soldier Street, Central Freetown, 1100, Sierra Leone"
Daniel Street,1100,1100-001,Central Freetown CBD,tertiary,8.4758,-13.2248,"Daniel Street, Central Freetown, 1100, Sierra Leone"
Trelawney Street,1100,1100-001,Central Freetown CBD,tertiary,8.4752,-13.2245,"Trelawney Street, Central Freetown, 1100, Sierra Leone"
Aggrey Street,1100,1100-001,Central Freetown CBD,tertiary,8.4772,-13.2268,"Aggrey Street, Central Freetown, 1100, Sierra Leone"
Westmoreland Street,1100,1100-001,Central Freetown CBD,secondary,8.4775,-13.2278,"Westmoreland Street, Central Freetown, 1100, Sierra Leone"
Savage Square,1101,1101-003,Fourah Bay,tertiary,8.4885,-13.2048,"Savage Square, Fourah Bay, 1101, Sierra Leone"
Pultney Street,1101,1101-003,Fourah Bay,tertiary,8.4888,-13.2055,"Pultney Street, Fourah Bay, 1101, Sierra Leone"
Waterloo Catholic Mission Road,1000,1000-001,Waterloo Town,tertiary,8.3335,-13.0608,"Catholic Mission Road, Waterloo, 1000, Sierra Leone"
Waterloo Seventh Day Road,1000,1000-001,Waterloo Town,tertiary,8.3340,-13.0612,"Seventh Day Road, Waterloo, 1000, Sierra Leone"
Waterloo School Road,1000,1000-001,Waterloo Town,tertiary,8.3345,-13.0615,"School Road, Waterloo, 1000, Sierra Leone"
Waterloo Adonkia Road,1000,1000-001,Waterloo Town,secondary,8.3350,-13.0620,"Adonkia Road, Waterloo, 1000, Sierra Leone"
Waterloo Songo Road,1000,1000-001,Waterloo Town,secondary,8.3355,-13.0625,"Songo Road, Waterloo, 1000, Sierra Leone"
Waterloo Cemetery Road,1000,1000-001,Waterloo Town,tertiary,8.3360,-13.0630,"Cemetery Road, Waterloo, 1000, Sierra Leone"
Waterloo SLRA Road,1000,1000-002,Waterloo Junction,tertiary,8.3292,-13.0574,"SLRA Road, Waterloo, 1000, Sierra Leone"
Waterloo Lorry Park Road,1000,1000-002,Waterloo Junction,tertiary,8.3288,-13.0572,"Lorry Park Road, Waterloo, 1000, Sierra Leone"
Masiaka Highway,1000,1000-001,Waterloo Town,primary,8.3365,-13.0640,"Masiaka Highway, Waterloo, 1000, Sierra Leone"
Jui Barracks Road,1000,1000-001,Waterloo Town,tertiary,8.3425,-13.0725,"Jui Barracks Road, Jui, 1000, Sierra Leone"
Jui Training Center Road,1000,1000-001,Waterloo Town,tertiary,8.3430,-13.0730,"Jui Training Center Road, Jui, 1000, Sierra Leone"
Jui Village Road,1000,1000-001,Waterloo Town,tertiary,8.3380,-13.0680,"Jui Village Road, Jui, 1000, Sierra Leone"
Jui Farmland Road,1000,1000-001,Waterloo Town,tertiary,8.3375,-13.0675,"Jui Farmland Road, Jui, 1000, Sierra Leone"
Jui Estate Road,1000,1000-001,Waterloo Town,tertiary,8.3435,-13.0735,"Jui Estate Road, Jui, 1000, Sierra Leone"
Imatt Housing Road,1103,1103-002,New England,tertiary,8.4710,-13.2400,"Imatt Housing Road, Imatt, 1103, Sierra Leone"
Imatt Police Post Road,1103,1103-002,New England,tertiary,8.4715,-13.2405,"Imatt Police Post Road, Imatt, 1103, Sierra Leone"
Imatt Market Road,1103,1103-002,New England,tertiary,8.4708,-13.2398,"Imatt Market Road, Imatt, 1103, Sierra Leone"
New England Hill Road,1103,1103-002,New England,secondary,8.4688,-13.2415,"New England Hill Road, New England, 1103, Sierra Leone"
Dwarzak Main Road,1103,1103-002,New England,tertiary,8.4698,-13.2382,"Dwarzak Main Road, Dwarzak, 1103, Sierra Leone"
Dwarzak School Road,1103,1103-002,New England,tertiary,8.4692,-13.2378,"Dwarzak School Road, Dwarzak, 1103, Sierra Leone"
Regent Bottom Road,1004,1004-001,Regent,tertiary,8.4130,-13.2110,"Regent Bottom Road, Regent, 1004, Sierra Leone"
Regent Top Road,1004,1004-001,Regent,tertiary,8.4165,-13.2135,"Regent Top Road, Regent, 1004, Sierra Leone"
Regent Sugar Loaf Road,1004,1004-001,Regent,tertiary,8.4170,-13.2140,"Sugar Loaf Road, Regent, 1004, Sierra Leone"
Grafton Cemetery Road,1003,1003-001,Grafton,tertiary,8.3895,-13.1472,"Grafton Cemetery Road, Grafton, 1003, Sierra Leone"
Hastings Market Road,1002,1002-001,Hastings,tertiary,8.3745,-13.1255,"Hastings Market Road, Hastings, 1002, Sierra Leone"
Newton Market Road,1001,1001-001,Newton,tertiary,8.3655,-13.0780,"Newton Market Road, Newton, 1001, Sierra Leone"
